recipeid,env_score,nutri_score,meal_score,name,ingredients,instructions,category,images
317804,216.9399893,70.88419297,75,New Orleans-i töltött paprika,"fokhagyma gerezdek, lila hagyma, zel?er, tojás, mozzarel?a sajt, paprika","Süsd meg a darált húst fokhagymával, hagymával és zel?errel? Készí­tsd el?a Dirty Rice-t. Add hozzá a húskeveréket a Dirty Rice-hoz, és párold 25 percig. Vegyed le a t?zr?l, és hagyd állni 5 percig. Melegítsd el? a süt?t 350 fokra. Készí­tsd el? a paprikákat, magozd ki, távolí­tsd el?a magokat, és vágd le a tetejüket (egyenlí­tsd ki az aljukat, hogy egyenesen álljanak). Verj fel?egy tojást Franks Red h?t szósszal, és adj hozzá 1 csésze sajtot a tojáskeverékhez. Keverd hozzá a tojáskeveréket a Dirty Rice-húskeverékhez. Töltsd meg mindegyik paprikát a tetejéig a hús-rizs keverékkel? és Helyezd üveg süt?tálba. Laza alufóliával fedd le. Süsd a süt?ben 25 percig. Vegyed ki a süt?b?l, vedd le a fóliát, és szárd meg mindegyik paprikát a maradék sajttal. Süsd további 10 percig lefedetlenül. Ha el?észült, vedd ki a süt?b?l, és hagyd állni 5 percig miel?tt tálalnád.",Hús,"h?tps://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/31/78/04/pic1jsSpC.jpg"
421807,206.1332885,57.49590336,90,Minestrone leves (Lassúf?z?ben),"marhacomb, marhahúsos pörkölt, víz, hagyma, só, kakukkf?, petrezsel?em, fekete bors, paradicsom, cukkini, csicseriborsó, káposzta, parmezán sajt","1. Egy lassúf?z?ben keverd össze a marhahúst ví­zzel? hagymával, sóval, kakukkf?vel? petrezsel?emmel? borssal és paradicsommal. 2. Fedd le ésf?zd alacsony h?fokon 7-9 órán keresztül. 3. Ha marhacombot használsz, vedd ki a csontokat (vágd fel?a húst és tedd vissza af?zékba). 4. íllí­tsd a h?fokot magasra. 5. Add hozzá a cukkinit, babot, káposztát és tésztát. 6. Fedd le ésf?zd magas h?fokon 30-45 percig, vagy amí­g a tészta/zöldségek puha lesznek. 7. szárd meg sajttal.",Hüvel?esek,"h?tps://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/42/18/07/picR5DDQr.jpg"
323083,237.2378185,66.69193738,65,A Legjobb Olasz Manicotti,"sovány marhahús, fokhagyma, hagyma, kockára vágott paradicsom, friss gombák, édeskömény mag, bazsalikom, f?szársó, bors, fagyasztott spenót, parmezán sajt, zsÃ­rszegény túró, ?rölt szárecsendió, bors","Egy nagy serpeny?ben pirí­tsd meg a darált húst, majd add hozzá a fokhagymát és a hagymát, vedd vissza a h?fokot alacsonyra, és párold 10 percig, majd szárd le. Adj hozzá paradicsomot, a paradicsom levét, gombát, édeskömény magot, bazsalikomot, olasz f?szárezést, f?szársót és borsot, majd keverd össze alaposan. Forrald fel? vedd vissza a h?fokot, és párold 10 percig, id?nként megkeverve. Egy másik tálban keverd össze a jól leszárt spenótot, a parmezánt, a túrót, a szárecsendiót és a borsot. Egy 9x13 colos süt?tálba, amit bepermeteztél, kanalazd el?egyenletesen az aljára a húsos szószt. Töltsd meg a manicottitésztát a spenótos keverékkel? és Helyezd a húsos rétegre a süt?tálban. Ismétel? meg, amí­g el?nem fogy a spenótos töltel?k a manicottitészta esetében.öntsd egyenletesen a maradék húsos szószt a manicottitészta tetejére. szárd rá a maradék parmezán sajtot. Fedd le, és süsd 325 fokon 1 óra 30 percig, vagy amí­g a tészták megpuhulnak.",Tészta,"h?tps://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/32/30/83/picodprJ3.jpg"
483523,206.10589,72.16932939,65,Lassúf?z?ben készült Arroz Con Pollo,"csirkecombok, kockára vágott paradicsom, konzerv borsó, csirkehús alaplé, fokhagymapor, sáfrányos rizs","1. 1. 2. Tedd az összes hozzávalót a lassúf?z?edénybe, KIVéVE a rizst, magas h?fokon 4 órán keresztül, vagy alacsony h?fokon 6-8 órán át. 3. Keverd össze az egészet és hagyd figyel?en kí­vül., 2. 4. Egy órával az étkezés el?tt add hozzá az egész 8 uncia rizst és állí­tsd alacsony h?fokra., 3. 5.f?zd lefedve egy órán keresztül., 4. 6. Tálald és élvezd!",Egytálétel,"h?tps://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/48/35/23/picGBrqAN.jpg"
179156,232.1928051,68.49756747,60,Sajttal töltött cannel?oni hússal öntve,"Darált marhahús, tojás, mozzarel?a sajt, ricotta sajt, parmezán sajt, fokhagymapor, só, bors, mozzarel?a sajt","Melegítsd el? a süt?t 180 fokra. Forralj fel?4 liter vizet; í­zlés szárint adj hozzá sót. Helyezd a tésztát a ví­zbe ésf?zd 9 percig. szárd le, majd öblí­tsd le hideg ví­zzel? hogy ne ragadjon össze.

Amí­g a tészta f?, pirí­tsd meg a húst egy nagy serpeny?ben. szárd le, majd add hozzá a spagetti szószt; hagyd párolódni 5 percig, majd kapcsold ki a tüzet.

Egy tálban keverd össze a tojást, 1 csésze mozzarel?át, a ricotta fel?t, parmezánt és f?száreket.öntsd egy réteg húsos szószt a süt?edény aljára, fel?asználva a fel?t.

Egy kanállal vagy habzsákkal töltsd meg a tésztát a sajtkrémmel? majd Helyezd a szósz tetejére. Kenj rá a maradék ricotta, majd rétegezd a maradék szósszal és mozzarel?ával. Süsd lefedve 40 percig.",Egytálétel,"h?tps://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/17/91/56/picOuVNjW.jpg"
511728,204.7831927,68.00877822,70,Marhahúsos árpaleves,"árpa, marhahúsos pörkölt, hagyma, fokhagyma gerezdek, fokhagymapor, zel?er szárak, sárgarépa, kukorica, babérlevél, szárÃ­tott bazsalikom, só, paradicsompüré, Worcestershire szósz, vörösbor, víz","Egy nagy serpeny?ben pirí­tsd meg a hagymát és a marhahúst, ne zsúfold be, ha szükséges, adagokban csináld. Egy lábasban tedd bel? a 3 csésze vizet az árpával, fokhagymával, bazsalikommal, sóval és babérlevéllel? Add hozzá a megpirí­tott marhahúst és hagymát a lábasba.öntsd fel?a serpeny?t borral, majd add hozzá a lábasba. Forrald fel? majd fedd le, és párold 30 percig, id?nként keverve. Adj hozzá worcestershire szószt, sárgarépát, zel?ert, paradicsompürét és marhahús alapot. Forrald fel?újra, fedd le, és párold 35 percig, id?nként keverve. Adj hozzá kukoricát, forrald fel?újra, és párold 5 percig. Ha száretnéd, adj hozzá 1/2 - 1 tk frissen ?rölt borsot, í­zesí­tsd, és igazí­tsd az í­zlésed szárinti sótartalomhoz.",Gabonafélék,"h?tps://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/51/17/28/guDnOOvFRviLbEJklWWg-beef-barley.jpg"
356346,231.7175776,64.2893335,65,Gyerekek kedvenc spagetti szósza,"sovány marhahús, olÃ­vaolaj, hagyma, zúzott fokhagymagerezdek, zel?er szárak, sárgarépa, szárÃ­tott oregánó level?k, szárÃ­tott bazsalikom level?k, szárÃ­tott ?rölt paprikás chili, paprika, paradicsomszósz, paradicsomlé, paradicsompüré, vörösbor, víz","1. Egy serpeny?ben közepes lángon pirí­tsd meg a darált marhahúst és kolbászt. 2. (Nem lesz szükséged további zsí­rra; a kolbász el?gend? lesz. 3. Használj fakanalat a húsok morzsolásához és összekeveréséhez., Eközben egy lábasban közepes lángon heví­ts olajat és pirí­tsd meg az hagymát, amí­g üveges nem lesz, kb. 5 percig. 4. Add hozzá a fokhagymát, zel?ert és sárgarépát, és folytasd a pirí­tást további 3 percig. 5. Keverd hozzá az oregánót, bazsalikomot, zel?ersót, vörös paprikát és pirospaprikát, majd folytasd a pirí­tást további 2 percig., Egy lyukacsos kanállal szedd át a megpirult húst a lábasba. 6. Keverd hozzá a paradicsomszószt, levet, pasztát; bort; és vizet. 7. Forrald fel?az el?gyet. 8. Vedd vissza a h?fokot alacsonyra és folytasd a párolást lefedetlenül 30 percig. 9. Kapcsold ki a tüzet, fedd le, és hagyd kih?lni a szószt szobah?mérsékletre. 10. Igény szárint használj botmixert a szósz néhány alkalommal való összeturmixolásához simább állag érdekében. 11. Melegítsd újra és tálald kedvenc tésztád fölött. 12. h?tsd h?t?szekrényben akár 3 napig, vagy fag",Szószok,"h?tps://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/35/63/46/picJUlxYr.jpg"
530471,203.4980253,72.1297284,65,Csirke vadászmódra,"csirkehús, olÃ­vaolaj, édes hagyma, fokhagyma gerezdek, kockára vágott paradicsom, paradicsompüré, száraz vörösbor, fokhagymapor, fekete bors, szárÃ­tott oregánó","Melegítsd el? a süt?t 190 fokra. Mossd meg és szárítsd meg a csirkehús darabokat. Egy nagy serpeny?ben melegítsd fel?az olí­vaolajat közepes magas h?fokon. Add hozzá a csirkét, majd szárd meg a fokhagyma, bors és oregano fel?vel? ahogy barnul a forró olajban. Barní­tsd meg mindkét oldalát, majd tedd át a csirkét egy 23x33 cm-es süt?edénybe. Hámozd meg és vágd fel?a hagymát 1,25 cm-es szeletekre. Aprí­tsd fel?a fokhagymát. Add hozzá a szeletel? hagymát és fokhagymát a forró olajhoz, és pirí­tsd 3-4 percig, amí­g enyhén meg nem barnul. Egy lyukas kanállal vedd ki a serpeny?b?l, és rendezd rá a csirkére. Egy nagy tálban keverd össze a paradicsomot, paradicsompürét, bort, cukrot, valamint a maradék fokhagymát, borsot és oreganót. Keverd össze jól egy habver?vel?öntsd a csirke és zöldségek fölé. Fedd le alufóliával, majd süsd 40 percig. Vegyél le róla a fóliát, és süsd további 40 percig fedetlenül. (Csont nélküli mel?ek esetén a sütési id?t fel?zd meg. 6-8 személy részáre.)",Csirkecomb,"h?tps://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/submissions/recipe/2001338859/ndk6dpBTQEahWFqqtxYl_2.jpg"
300190,216.4421987,63.86079127,70,Finom töltött piros paprikák k?lönleges változata,"piros kaliforniai paprika, darált marhahús, sárga hagyma, mogyoróhagyma, fokhagyma gerezdek, hosszú szem? rizs, víz, kosher só, fehér bors, bors, cayenne bors, cheddar sajt, parmezán-romano sajtkeverék, mozzarel?a sajt","1. Vágd le a paprikák tetejét, tedd félre, távolí­tsd el?a szárat, hártyát és magokat; ültessd el?a magokat és a fel?sleget a kertedben, a hártya és a szár jó mulcsnak számí­t, és jöv?re finom, otthon termesztett paprikáid lesznek. Vágd apróra a tetejüket és tedd félre.f?zd meg a kicsontozott paprikákat, fedetlenül forrásban lév?ví­zben 10-15 percig, majd vedd ki és azonnal Helyezd jéghideg ví­zbe, ez megkönnyí­ti a hámozást. 2. Hámozd meg a paprikákat, tedd zsí­rozott tálba (én Pam-et használok és enyhén megszárom sóval a belsejüket. 3. Nem muszáj, de mi jobban száretjük hámozva, mert kés?bb könnyebb villával vágni és gyönyör? textúrája lesz. 
Egy serpeny?ben pirí­tsd meg a darált húst, hagymát, salottát, fokhagymát és fel?prí­tott paprikát, amí­g a hús meg nem pirul és a zöldségek meg nem puhulnak.öntsd le a fel?sleges zsí­rt, ha úgy gondolod, tovább meh?tve azzal, hogy külön megf?zöd a húst, leöblí­ted, majd hozzáadod a zöldségeket, ez csökkenti a zsí­rtartalmat. 4. Adj hozzá nyers rizst, vizet, sót, Dales-t és borsot. Forrald fel? csökkentsd a h?fokot. 5. Fedd le és párold körülbelül 20",Egytálétel,"h?tps://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/30/01/90/picPTIoBS.jpg"
313086,223.9767051,69.54982643,60,Ravioli tál,"sovány marhahús, f?száres só, fokhagymapor, fekete bors, vöröshagyma, cukkini, margarin, mozzarel?a sajt","Egy nagy serpeny?ben pirí­tsd meg a darált marhahúst, amí­g már nem rózsaszí­n?, majd szárd le. Tegyed vissza a serpeny?be, és add hozzá a sót, borsot és fokhagymapor.

Egy nagy lábasban pirí­tsd meg az hagymát és a cukkinit margarinon, csak addig, amí­g enyhén megpuhulnak, majd keverd hozzá a spagetti szószt.

Egy vajazott 22x33 cm-es tepsiben terí­ts el?1/2 csésze szószt, rétegezd a raviolit, a maradék spagetti szószt, a maradék húst és a maradék sajtot.

Ismétel? meg újra, kivéve a sajtot.

Fedd le, és süsd 180 fokon 35 percig.

Vedd le a fed?t, és szárd rá a maradék sajtot.

Hagyd állni 10 percig, miel?tt tálalnád.",Sajt,"h?tps://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/31/30/86/9ouyzeKzT3CIigGw8sjf_Easy%20Baked%20Ravioli%20Casserole_final_5.jpg"
